"Screen_Tech","Avg_mode_power"
"LCD",14
"LCD",14.89
"LCD",15.1
"LCD",15.3
"LCD",15.85
"LCD",15.8718
"LCD",17.766
"LCD",19.4
"LCD",19.8
"LCD",20.2
"LCD",20.8
"LCD",20.94
"LCD",21.55
"LCD",21.64
"LCD",21.71
"LCD",21.96
"LCD",22
"LCD",22.1
"LCD",22.3
"LCD",22.6
"LCD",23.28
"LCD",23.5
"LCD",23.798
"LCD",23.8
"LCD",23.82
"LCD",23.89
"LCD",24.2
"LCD",24.48
"LCD",24.52
"LCD",25.17
"LCD",25.2
"LCD",25.21
"LCD",25.23
"LCD",25.3
"LCD",26.7
"LCD",27.1
"LCD",28
"LCD",28.1
"LCD",28.2
"LCD",28.7
"LCD",29.22
"LCD",29.6
"LCD",30.28
"LCD",31.814
"LCD",31.9
"LCD",31.92
"LCD",31.98
"LCD",32.18
"LCD",32.7
"LCD",33.1
"LCD",33.4
"LCD",34.296
"LCD",34.48
"LCD",34.67
"LCD",34.7
"LCD",35.04
"LCD",35.2
"LCD",35.3
"LCD",35.8
"LCD",36.26
"LCD",36.7
"LCD",38.2
"LCD",38.82
"LCD",39
"LCD",39.8
"LCD",39.9
"LCD",40
"LCD",40.1
"LCD",40.38
"LCD",41.95
"LCD",42.3
"LCD",44.2
"LCD",44.6
"LCD",45.012
"LCD",45.3
"LCD",46.1
"LCD",46.6
"LCD",46.8
"LCD",47.02
"LCD",47.23
"LCD",47.76
"LCD",48.96
"LCD",49.1
"LCD",49.98
"LCD",50.5
"LCD",51.03
"LCD",51.49
"LCD",51.6354
"LCD",52.6
"LCD",53.12
"LCD",53.26
"LCD",53.8
"LCD",54.04
"LCD",54.82
"LCD",55.635
"LCD",56.7
"LCD",57.474
"LCD",57.6
"LCD",57.79
"LCD",59.24
"LCD",59.7
"LCD",59.75
"LCD",59.9
"LCD",60.73
"LCD",62.5
"LCD",65
"LCD",65.5236
"LCD",66.49
"LCD",66.62
"LCD",67.434
"LCD",68.2
"LCD",68.5
"LCD",68.98
"LCD",69.6
"LCD",69.64
"LCD",70
"LCD",70.2
"LCD",70.7
"LCD",71.3472
"LCD",71.99
"LCD",72.4
"LCD",73
"LCD",74.9
"LCD",75.18
"LCD",75.58
"LCD",76.044
"LCD",77.2
"LCD",79.95
"LCD",80.7
"LCD",81.288
"LCD",82
"LCD",82.2
"LCD",82.242
"LCD",82.5
"LCD",83
"LCD",84.4
"LCD",85.2
"LCD",85.767
"LCD",85.97
"LCD",86.09
"LCD",86.21
"LCD",86.3
"LCD",87.2
"LCD",87.3
"LCD",87.96
"LCD",88.8
"LCD",89.1
"LCD",90.0792
"LCD",90.1
"LCD",90.1488
"LCD",91.788
"LCD",92.076
"LCD",92.1
"LCD",93
"LCD",93.012
"LCD",93.324
"LCD",94.12
"LCD",94.374
"LCD",94.65
"LCD",94.8
"LCD",94.96
"LCD",96.06
"LCD",96.3
"LCD",96.56
"LCD",96.612
"LCD",97.36
"LCD",97.8
"LCD",99.75
"LCD",100.2
"LCD",100.8
"LCD",100.9
"LCD",101.358
"LCD",101.98
"LCD",102
"LCD",102.36
"LCD",102.7
"LCD",103.59
"LCD",104
"LCD",104.68002
"LCD",104.9
"LCD",105.8
"LCD",106.02
"LCD",107.4
"LCD",107.6
"LCD",108.1
"LCD",108.2
"LCD",108.294
"LCD",110.12
"LCD",110.15
"LCD",110.3
"LCD",110.35
"LCD",110.72
"LCD",110.95
"LCD",111.39
"LCD",111.438
"LCD",112.086
"LCD",112.52
"LCD",113
"LCD",113.136
"LCD",113.2
"LCD",114.8
"LCD",115.1
"LCD",115.9
"LCD",119.9244
"LCD",120
"LCD",122.59
"LCD",124.536
"LCD",124.968
"LCD",126.1
"LCD",126.52
"LCD",126.93
"LCD",126.96
"LCD",127.74
"LCD",128.89
"LCD",130.03
"LCD",130.5
"LCD",130.692
"LCD",132.4
"LCD",133.54
"LCD",133.926
"LCD",134.5602
"LCD",136.1
"LCD",137.3
"LCD",137.7
"LCD",139.61
"LCD",140.1
"LCD",141.1
"LCD",142.1
"LCD",143.1
"LCD",143.934
"LCD",145.2
"LCD",147.21
"LCD",148.05
"LCD",151.23
"LCD",153.11
"LCD",154.23
"LCD",156
"LCD",157.044
"LCD",158.28
"LCD",159
"LCD",159.1
"LCD",161.454
"LCD",161.64
"LCD",162.1
"LCD",162.79
"LCD",163.1
"LCD",167.26
"LCD",169.97
"LCD",170.6
"LCD",171.7
"LCD",173
"LCD",174.22
"LCD",182
"LCD",188.97
"LCD",189.9
"LCD",195.75
"LCD",198
"LCD",203.32
"LCD",204.81
"LCD",206
"LCD",206.62
"LCD",211.836
"LCD",214.416
"LCD",219
"LCD",221
"LCD",221.6
"LCD",227.32
"LCD",228
"LCD",228.91
"LCD",234.49
"LCD",240.9
"LCD",252.5
"LCD",257.2
"LCD",259.3
"LCD",306.3
"LCD",340.8
"LCD",482.4
"LCD (LED)",10
"LCD (LED)",14.61
"LCD (LED)",14.7
"LCD (LED)",14.83
"LCD (LED)",15.1
"LCD (LED)",15.12
"LCD (LED)",15.3
"LCD (LED)",15.38
"LCD (LED)",15.8694
"LCD (LED)",15.87
"LCD (LED)",16.1448
"LCD (LED)",16.1569
"LCD (LED)",16.17
"LCD (LED)",16.2
"LCD (LED)",16.3
"LCD (LED)",16.33
"LCD (LED)",16.5
"LCD (LED)",16.9
"LCD (LED)",17.0946
"LCD (LED)",17.14
"LCD (LED)",17.1498
"LCD (LED)",17.38
"LCD (LED)",17.48
"LCD (LED)",17.74
"LCD (LED)",17.8
"LCD (LED)",18
"LCD (LED)",18.4
"LCD (LED)",18.47
"LCD (LED)",18.72
"LCD (LED)",19.2
"LCD (LED)",19.4
"LCD (LED)",19.6
"LCD (LED)",19.64
"LCD (LED)",19.8
"LCD (LED)",20
"LCD (LED)",20.12
"LCD (LED)",20.2
"LCD (LED)",20.24
"LCD (LED)",20.3
"LCD (LED)",20.5
"LCD (LED)",20.64
"LCD (LED)",20.83
"LCD (LED)",20.96
"LCD (LED)",21
"LCD (LED)",21.68
"LCD (LED)",22
"LCD (LED)",22.07
"LCD (LED)",22.2
"LCD (LED)",22.3
"LCD (LED)",22.8
"LCD (LED)",22.9
"LCD (LED)",23
"LCD (LED)",23.298
"LCD (LED)",23.3
"LCD (LED)",23.55
"LCD (LED)",23.98
"LCD (LED)",24
"LCD (LED)",24.01
"LCD (LED)",24.1
"LCD (LED)",24.17
"LCD (LED)",24.2
"LCD (LED)",24.3
"LCD (LED)",24.37
"LCD (LED)",24.6
"LCD (LED)",24.61
"LCD (LED)",24.687
"LCD (LED)",24.7
"LCD (LED)",24.81
"LCD (LED)",24.82
"LCD (LED)",24.84
"LCD (LED)",24.9
"LCD (LED)",25
"LCD (LED)",25.03
"LCD (LED)",25.23
"LCD (LED)",25.26
"LCD (LED)",25.32
"LCD (LED)",25.4
"LCD (LED)",25.5
"LCD (LED)",25.58
"LCD (LED)",25.68
"LCD (LED)",25.7
"LCD (LED)",25.8
"LCD (LED)",25.83
"LCD (LED)",25.84
"LCD (LED)",25.92
"LCD (LED)",25.93
"LCD (LED)",26
"LCD (LED)",26.3
"LCD (LED)",26.4498
"LCD (LED)",26.67
"LCD (LED)",27
"LCD (LED)",27.036
"LCD (LED)",27.1
"LCD (LED)",27.14
"LCD (LED)",27.2
"LCD (LED)",27.25
"LCD (LED)",27.3
"LCD (LED)",27.42
"LCD (LED)",27.7
"LCD (LED)",27.83
"LCD (LED)",28
"LCD (LED)",28.17
"LCD (LED)",28.2
"LCD (LED)",28.3
"LCD (LED)",28.33
"LCD (LED)",28.58
"LCD (LED)",28.6
"LCD (LED)",28.86
"LCD (LED)",29.05
"LCD (LED)",29.07
"LCD (LED)",29.15
"LCD (LED)",29.55
"LCD (LED)",29.57
"LCD (LED)",30
"LCD (LED)",30.3
"LCD (LED)",31
"LCD (LED)",31.1544
"LCD (LED)",31.2
"LCD (LED)",31.27
"LCD (LED)",31.4
"LCD (LED)",31.51
"LCD (LED)",31.626
"LCD (LED)",31.68
"LCD (LED)",31.78
"LCD (LED)",31.784
"LCD (LED)",31.8
"LCD (LED)",31.84
"LCD (LED)",32
"LCD (LED)",32.247
"LCD (LED)",32.3
"LCD (LED)",32.4
"LCD (LED)",32.46
"LCD (LED)",32.5
"LCD (LED)",32.8
"LCD (LED)",32.9
"LCD (LED)",33
"LCD (LED)",33.27
"LCD (LED)",33.3
"LCD (LED)",33.5
"LCD (LED)",33.52
"LCD (LED)",33.62
"LCD (LED)",34
"LCD (LED)",34.4
"LCD (LED)",34.47
"LCD (LED)",34.52
"LCD (LED)",34.7
"LCD (LED)",34.7106
"LCD (LED)",34.76
"LCD (LED)",34.8
"LCD (LED)",35
"LCD (LED)",35.1
"LCD (LED)",35.18
"LCD (LED)",35.2
"LCD (LED)",35.3
"LCD (LED)",35.4
"LCD (LED)",35.47
"LCD (LED)",35.598
"LCD (LED)",35.6
"LCD (LED)",35.63
"LCD (LED)",35.67
"LCD (LED)",35.8
"LCD (LED)",35.9
"LCD (LED)",35.97
"LCD (LED)",36
"LCD (LED)",36.2
"LCD (LED)",36.27
"LCD (LED)",36.32
"LCD (LED)",36.4
"LCD (LED)",36.5
"LCD (LED)",36.6
"LCD (LED)",36.7
"LCD (LED)",36.8
"LCD (LED)",36.9
"LCD (LED)",36.91
"LCD (LED)",36.95
"LCD (LED)",37.1
"LCD (LED)",37.86
"LCD (LED)",38
"LCD (LED)",38.12
"LCD (LED)",38.16
"LCD (LED)",38.3
"LCD (LED)",38.4
"LCD (LED)",38.46
"LCD (LED)",38.6
"LCD (LED)",38.85
"LCD (LED)",38.92
"LCD (LED)",38.946
"LCD (LED)",39
"LCD (LED)",39.24
"LCD (LED)",39.33
"LCD (LED)",39.5
"LCD (LED)",39.8
"LCD (LED)",40
"LCD (LED)",40.25
"LCD (LED)",40.4
"LCD (LED)",40.45
"LCD (LED)",40.7
"LCD (LED)",41
"LCD (LED)",41.38
"LCD (LED)",41.5
"LCD (LED)",41.53
"LCD (LED)",41.6
"LCD (LED)",41.8
"LCD (LED)",41.94
"LCD (LED)",42.7
"LCD (LED)",42.76
"LCD (LED)",42.804
"LCD (LED)",43
"LCD (LED)",43.1
"LCD (LED)",43.2
"LCD (LED)",43.23
"LCD (LED)",43.25
"LCD (LED)",43.5
"LCD (LED)",43.6
"LCD (LED)",43.9
"LCD (LED)",44.2
"LCD (LED)",44.91
"LCD (LED)",44.99
"LCD (LED)",45
"LCD (LED)",45.5
"LCD (LED)",45.69
"LCD (LED)",46
"LCD (LED)",46.11
"LCD (LED)",46.5216
"LCD (LED)",46.6632
"LCD (LED)",46.8
"LCD (LED)",46.99
"LCD (LED)",47.04
"LCD (LED)",47.1
"LCD (LED)",47.2
"LCD (LED)",47.23
"LCD (LED)",47.3
"LCD (LED)",47.37
"LCD (LED)",47.5
"LCD (LED)",47.72
"LCD (LED)",47.9
"LCD (LED)",48.19
"LCD (LED)",48.68
"LCD (LED)",48.76
"LCD (LED)",49
"LCD (LED)",49.14
"LCD (LED)",49.2
"LCD (LED)",49.21
"LCD (LED)",49.6
"LCD (LED)",49.7
"LCD (LED)",50
"LCD (LED)",50.04
"LCD (LED)",50.3
"LCD (LED)",50.44
"LCD (LED)",50.5
"LCD (LED)",50.56
"LCD (LED)",50.6
"LCD (LED)",50.67
"LCD (LED)",50.73
"LCD (LED)",50.909
"LCD (LED)",51
"LCD (LED)",51.04
"LCD (LED)",51.09
"LCD (LED)",51.12
"LCD (LED)",51.2
"LCD (LED)",51.3
"LCD (LED)",51.44
"LCD (LED)",51.6
"LCD (LED)",51.78
"LCD (LED)",51.8
"LCD (LED)",51.888
"LCD (LED)",52.1
"LCD (LED)",52.3
"LCD (LED)",52.9
"LCD (LED)",53
"LCD (LED)",53.2
"LCD (LED)",53.38
"LCD (LED)",53.5
"LCD (LED)",53.64
"LCD (LED)",53.7
"LCD (LED)",54
"LCD (LED)",54.39
"LCD (LED)",54.48
"LCD (LED)",54.5
"LCD (LED)",54.8
"LCD (LED)",54.84
"LCD (LED)",54.86
"LCD (LED)",54.9
"LCD (LED)",55
"LCD (LED)",55.02
"LCD (LED)",55.3
"LCD (LED)",55.35
"LCD (LED)",55.49
"LCD (LED)",55.5
"LCD (LED)",55.52
"LCD (LED)",55.81
"LCD (LED)",55.82
"LCD (LED)",55.9
"LCD (LED)",56
"LCD (LED)",56.1
"LCD (LED)",56.59
"LCD (LED)",56.9
"LCD (LED)",56.97
"LCD (LED)",57
"LCD (LED)",57.06
"LCD (LED)",57.2
"LCD (LED)",57.3
"LCD (LED)",57.65
"LCD (LED)",57.75
"LCD (LED)",57.9
"LCD (LED)",57.97
"LCD (LED)",58
"LCD (LED)",58.2
"LCD (LED)",58.4
"LCD (LED)",58.7
"LCD (LED)",58.81
"LCD (LED)",58.95
"LCD (LED)",59
"LCD (LED)",59.02
"LCD (LED)",59.47
"LCD (LED)",59.7
"LCD (LED)",59.84
"LCD (LED)",59.91
"LCD (LED)",59.97
"LCD (LED)",60.2
"LCD (LED)",60.48
"LCD (LED)",60.564
"LCD (LED)",60.62
"LCD (LED)",60.78
"LCD (LED)",60.9
"LCD (LED)",61.1
"LCD (LED)",61.2
"LCD (LED)",61.3
"LCD (LED)",61.38
"LCD (LED)",61.524
"LCD (LED)",61.76
"LCD (LED)",61.9
"LCD (LED)",62
"LCD (LED)",62.33
"LCD (LED)",62.358
"LCD (LED)",63
"LCD (LED)",63.12
"LCD (LED)",63.2
"LCD (LED)",63.29
"LCD (LED)",63.45
"LCD (LED)",63.7
"LCD (LED)",63.89
"LCD (LED)",63.9
"LCD (LED)",63.94
"LCD (LED)",64
"LCD (LED)",64.01
"LCD (LED)",64.06
"LCD (LED)",64.17
"LCD (LED)",64.3
"LCD (LED)",64.6
"LCD (LED)",64.71
"LCD (LED)",64.97
"LCD (LED)",65
"LCD (LED)",65.21
"LCD (LED)",65.43
"LCD (LED)",65.8
"LCD (LED)",65.9
"LCD (LED)",66
"LCD (LED)",66.16
"LCD (LED)",66.2
"LCD (LED)",66.3
"LCD (LED)",66.4
"LCD (LED)",66.42
"LCD (LED)",66.6
"LCD (LED)",66.8
"LCD (LED)",67
"LCD (LED)",67.5
"LCD (LED)",67.65
"LCD (LED)",67.75
"LCD (LED)",67.76
"LCD (LED)",67.9
"LCD (LED)",68
"LCD (LED)",68.12
"LCD (LED)",68.2
"LCD (LED)",68.4
"LCD (LED)",68.7096
"LCD (LED)",68.9
"LCD (LED)",69
"LCD (LED)",69.15
"LCD (LED)",69.3
"LCD (LED)",69.4
"LCD (LED)",69.5
"LCD (LED)",69.65
"LCD (LED)",69.8
"LCD (LED)",69.9
"LCD (LED)",70
"LCD (LED)",70.4
"LCD (LED)",70.66
"LCD (LED)",70.8
"LCD (LED)",71
"LCD (LED)",71.1
"LCD (LED)",71.19
"LCD (LED)",71.24
"LCD (LED)",71.5
"LCD (LED)",72
"LCD (LED)",72.1
"LCD (LED)",72.19
"LCD (LED)",72.3
"LCD (LED)",72.57
"LCD (LED)",72.6
"LCD (LED)",72.7
"LCD (LED)",72.81
"LCD (LED)",72.83
"LCD (LED)",73
"LCD (LED)",73.254
"LCD (LED)",73.4
"LCD (LED)",73.5
"LCD (LED)",73.6
"LCD (LED)",73.72
"LCD (LED)",73.9
"LCD (LED)",73.991
"LCD (LED)",74
"LCD (LED)",74.3
"LCD (LED)",74.4
"LCD (LED)",74.7
"LCD (LED)",75
"LCD (LED)",75.2
"LCD (LED)",75.21
"LCD (LED)",75.31
"LCD (LED)",75.43
"LCD (LED)",75.48
"LCD (LED)",75.576
"LCD (LED)",76
"LCD (LED)",76.37
"LCD (LED)",76.53
"LCD (LED)",76.6
"LCD (LED)",76.8
"LCD (LED)",76.9
"LCD (LED)",77
"LCD (LED)",77.1
"LCD (LED)",77.5
"LCD (LED)",77.6
"LCD (LED)",77.67
"LCD (LED)",77.8
"LCD (LED)",78
"LCD (LED)",78.3
"LCD (LED)",78.5
"LCD (LED)",78.8
"LCD (LED)",78.97
"LCD (LED)",79
"LCD (LED)",79.06
"LCD (LED)",79.3
"LCD (LED)",79.33
"LCD (LED)",79.65
"LCD (LED)",79.98
"LCD (LED)",80
"LCD (LED)",80.04
"LCD (LED)",80.1
"LCD (LED)",80.2
"LCD (LED)",80.28
"LCD (LED)",80.8
"LCD (LED)",80.814
"LCD (LED)",81
"LCD (LED)",81.08
"LCD (LED)",81.3
"LCD (LED)",81.32
"LCD (LED)",81.49
"LCD (LED)",82
"LCD (LED)",82.05
"LCD (LED)",82.11
"LCD (LED)",82.3
"LCD (LED)",82.49
"LCD (LED)",82.7
"LCD (LED)",82.938
"LCD (LED)",83
"LCD (LED)",83.3
"LCD (LED)",83.6
"LCD (LED)",83.91
"LCD (LED)",84
"LCD (LED)",84.048
"LCD (LED)",84.4
"LCD (LED)",84.82
"LCD (LED)",85
"LCD (LED)",85.64
"LCD (LED)",86
"LCD (LED)",86.04
"LCD (LED)",86.23
"LCD (LED)",86.5
"LCD (LED)",86.54
"LCD (LED)",86.66
"LCD (LED)",86.9
"LCD (LED)",87
"LCD (LED)",87.19
"LCD (LED)",87.3
"LCD (LED)",87.6
"LCD (LED)",87.66
"LCD (LED)",87.678
"LCD (LED)",87.99
"LCD (LED)",88
"LCD (LED)",88.74
"LCD (LED)",88.8
"LCD (LED)",89
"LCD (LED)",89.1
"LCD (LED)",89.74
"LCD (LED)",90
"LCD (LED)",90.1
"LCD (LED)",90.11
"LCD (LED)",90.42
"LCD (LED)",90.5
"LCD (LED)",90.7
"LCD (LED)",91
"LCD (LED)",91.26
"LCD (LED)",91.4
"LCD (LED)",91.5
"LCD (LED)",91.7
"LCD (LED)",91.788
"LCD (LED)",91.8
"LCD (LED)",91.87
"LCD (LED)",92
"LCD (LED)",92.2
"LCD (LED)",92.3
"LCD (LED)",92.33
"LCD (LED)",92.39
"LCD (LED)",92.66
"LCD (LED)",92.78
"LCD (LED)",92.8
